Time step, X values, Set 1 Solution, Set 1 Analytical, Set 1 Error, Set 2 Solution, Set 2 Analytical, Set 2 Error
5, -50,0,0,0,0,0,0
5, -49.7494,0,0,0,0,0,0
5, -49.4987,0,0,0,0,0,0
5, -49.2481,0,0,0,0,0,0
5, -48.9975,0,0,0,0,0,0
5, -48.7469,0,0,0,0,0,0
5, -48.4962,0,0,0,0,0,0
5, -48.2456,0,0,0,0,0,0
5, -47.995,0,0,0,0,0,0
5, -47.7444,0,0,0,0,0,0
5, -47.4937,0,0,0,0,0,0
5, -47.2431,0,0,0,0,0,0
5, -46.9925,0,0,0,0,0,0
5, -46.7419,0,0,0,0,0,0
5, -46.4912,0,0,0,0,0,0
5, -46.2406,0,0,0,0,0,0
5, -45.99,0,0,0,0,0,0
5, -45.7393,0,0,0,0,0,0
5, -45.4887,0,0,0,0,0,0
5, -45.2381,0,0,0,0,0,0
5, -44.9875,0,0,0,0,0,0
5, -44.7368,0,0,0,0,0,0
5, -44.4862,0,0,0,0,0,0
5, -44.2356,0,0,0,0,0,0
5, -43.985,0,0,0,0,0,0
5, -43.7343,0,0,0,0,0,0
5, -43.4837,0,0,0,0,0,0
5, -43.2331,0,0,0,0,0,0
5, -42.9825,0,0,0,0,0,0
5, -42.7318,0,0,0,0,0,0
5, -42.4812,0,0,0,1.27632e-319,0,1.27632e-319
5, -42.2306,0,0,0,4.03615e-315,0,4.03615e-315
5, -41.9799,0,0,0,1.16988e-310,0,1.16988e-310
5, -41.7293,0,0,0,3.10791e-306,0,3.10791e-306
5, -41.4787,0,0,0,7.56742e-302,0,7.56742e-302
5, -41.2281,0,0,0,1.6888e-297,0,1.6888e-297
5, -40.9774,0,0,0,3.45424e-293,0,3.45424e-293
5, -40.7268,0,0,0,6.47548e-289,0,6.47548e-289
5, -40.4762,0,0,0,1.11258e-284,0,1.11258e-284
5, -40.2256,0,0,0,1.75196e-280,0,1.75196e-280
5, -39.9749,0,0,0,2.52842e-276,0,2.52842e-276
5, -39.7243,0,0,0,3.34428e-272,0,3.34428e-272
5, -39.4737,0,0,0,4.05393e-268,0,4.05393e-268
5, -39.2231,0,0,0,4.50367e-264,0,4.50367e-264
5, -38.9724,0,0,0,4.58529e-260,0,4.58529e-260
5, -38.7218,0,0,0,4.27829e-256,0,4.27829e-256
5, -38.4712,0,0,0,3.65822e-252,0,3.65822e-252
5, -38.2206,0,0,0,2.86654e-248,0,2.86654e-248
5, -37.9699,0,0,0,2.05838e-244,0,2.05838e-244
5, -37.7193,0,0,0,1.35445e-240,0,1.35445e-240
5, -37.4687,0,0,0,8.16697e-237,0,8.16697e-237
5, -37.218,0,0,0,4.5124e-233,0,4.5124e-233
5, -36.9674,0,0,0,2.2845e-229,0,2.2845e-229
5, -36.7168,0,0,0,1.05973e-225,0,1.05973e-225
5, -36.4662,0,0,0,4.50414e-222,0,4.50414e-222
5, -36.2155,0,0,0,1.75395e-218,0,1.75395e-218
5, -35.9649,0,0,0,6.25749e-215,0,6.25749e-215
5, -35.7143,0,0,0,2.04521e-211,0,2.04521e-211
5, -35.4637,0,0,0,6.12363e-208,0,6.12363e-208
5, -35.213,0,0,0,1.67955e-204,0,1.67955e-204
5, -34.9624,0,0,0,4.21952e-201,0,4.21952e-201
5, -34.7118,0,0,0,9.7094e-198,0,9.7094e-198
5, -34.4612,0,0,0,2.04621e-194,0,2.04621e-194
5, -34.2105,0,0,0,3.94916e-191,0,3.94916e-191
5, -33.9599,0,0,0,6.97942e-188,0,6.97942e-188
5, -33.7093,0,0,0,1.12941e-184,0,1.12941e-184
5, -33.4586,0,0,0,1.67326e-181,0,1.67326e-181
5, -33.208,0,0,0,2.26936e-178,0,2.26936e-178
5, -32.9574,0,0,0,2.81722e-175,0,2.81722e-175
5, -32.7068,0,0,0,3.20078e-172,0,3.20078e-172
5, -32.4561,0,0,0,3.32772e-169,0,3.32772e-169
5, -32.2055,0,0,0,3.16537e-166,0,3.16537e-166
5, -31.9549,0,0,0,2.75429e-163,0,2.75429e-163
5, -31.7043,0,0,0,2.1919e-160,0,2.1919e-160
5, -31.4536,0,0,0,1.59501e-157,0,1.59501e-157
5, -31.203,0,0,0,1.06104e-154,0,1.06104e-154
5, -30.9524,0,0,0,6.45086e-152,0,6.45086e-152
5, -30.7018,0,0,0,3.58336e-149,0,3.58336e-149
5, -30.4511,0,0,0,1.81807e-146,0,1.81807e-146
5, -30.2005,0,0,0,8.42214e-144,0,8.42214e-144
5, -29.9499,0,0,0,3.56085e-141,0,3.56085e-141
5, -29.6992,0,0,0,1.37344e-138,0,1.37344e-138
5, -29.4486,0,0,0,4.83031e-136,0,4.83031e-136
5, -29.198,0,0,0,1.54813e-133,0,1.54813e-133
5, -28.9474,0,0,0,4.51892e-131,0,4.51892e-131
5, -28.6967,0,0,0,1.20046e-128,0,1.20046e-128
5, -28.4461,0,0,0,2.90002e-126,0,2.90002e-126
5, -28.1955,0,0,0,6.36497e-124,0,6.36497e-124
5, -27.9449,0,0,0,1.26789e-121,0,1.26789e-121
5, -27.6942,0,0,0,2.28947e-119,0,2.28947e-119
5, -27.4436,0,0,0,3.74242e-117,0,3.74242e-117
5, -27.193,0,0,0,5.52884e-115,0,5.52884e-115
5, -26.9424,0,0,0,7.368e-113,0,7.368e-113
5, -26.6917,0,0,0,8.8372e-111,0,8.8372e-111
5, -26.4411,0,0,0,9.51352e-109,0,9.51352e-109
5, -26.1905,0,0,0,9.16165e-107,0,9.16165e-107
5, -25.9398,0,0,0,7.8595e-105,0,7.8595e-105
5, -25.6892,0,0,0,5.97417e-103,0,5.97417e-103
5, -25.4386,0,0,0,3.99525e-101,0,3.99525e-101
5, -25.188,0,0,0,2.32782e-99,0,2.32782e-99
5, -24.9373,0,0,0,1.16489e-97,0,1.16489e-97
5, -24.6867,0,0,0,4.89397e-96,0,4.89397e-96
5, -24.4361,0,0,0,1.65604e-94,0,1.65604e-94
5, -24.1855,0,0,0,4.10221e-93,0,4.10221e-93
5, -23.9348,0,0,0,5.06488e-92,2.56914e-322,5.06488e-92
5, -23.6842,0,0,0,-1.15507e-90,2.10409e-317,-1.15507e-90
5, -23.4336,0,0,0,-8.37405e-89,1.57843e-312,-8.37405e-89
5, -23.183,0,0,0,-2.15252e-87,1.08535e-307,-2.15252e-87
5, -22.9323,0,0,0,-1.37953e-86,6.84062e-303,-1.37953e-86
5, -22.6817,0,0,0,9.24057e-85,3.95188e-298,9.24057e-85
5, -22.4311,0,0,0,3.20676e-83,2.09264e-293,3.20676e-83
5, -22.1805,0,0,0,2.61209e-82,1.01571e-288,2.61209e-82
5, -21.9298,0,0,0,-1.0467e-80,4.51881e-284,-1.0467e-80
5, -21.6792,0,0,0,-3.21201e-79,1.84273e-279,-3.21201e-79
5, -21.4286,0,0,0,-9.41768e-79,6.88784e-275,-9.41768e-79
5, -21.1779,0,0,0,1.16052e-76,2.35986e-270,1.16052e-76
5, -20.9273,0,0,0,1.94842e-75,7.41092e-266,1.94842e-75
5, -20.6767,0,0,0,-1.73168e-74,2.13324e-261,-1.73168e-74
5, -20.4261,0,0,0,-8.34836e-73,5.62847e-257,-8.34836e-73
5, -20.1754,0,0,0,-2.72002e-72,1.3612e-252,-2.72002e-72
5, -19.9248,0,0,0,2.18786e-70,3.01743e-248,2.18786e-70
5, -19.6742,0,0,0,2.39993e-69,6.13106e-244,2.39993e-69
5, -19.4236,0,0,0,-3.95179e-68,1.14187e-239,-3.95179e-68
5, -19.1729,0,0,0,-8.03462e-67,1.94929e-235,-8.03462e-67
5, -18.9223,0,0,0,4.67097e-66,3.05016e-231,4.67097e-66
5, -18.6717,0,0,0,1.88743e-64,4.37471e-227,1.88743e-64
5, -18.4211,0,0,0,-1.79122e-64,5.7512e-223,-1.79122e-64
5, -18.1704,0,0,0,-3.52504e-62,6.93028e-219,-3.52504e-62
5, -17.9198,0,0,0,-7.09222e-62,7.65464e-215,-7.09222e-62
5, -17.6692,0,0,0,5.52282e-60,7.74964e-211,5.52282e-60
5, -17.4185,0,0,0,2.22503e-59,7.19152e-207,2.22503e-59
5, -17.1679,0,0,0,-7.47851e-58,6.11705e-203,-7.47851e-58
5, -16.9173,0,0,0,-4.06746e-57,4.76921e-199,-4.06746e-57
5, -16.6667,0,0,0,8.93165e-56,3.40826e-195,8.93165e-56
5, -16.416,0,0,0,5.66793e-55,2.23255e-191,5.66793e-55
5, -16.1654,0,0,0,-9.5068e-54,1.34045e-187,-9.5068e-54
5, -15.9148,0,0,0,-6.50656e-53,7.3771e-184,-6.50656e-53
5, -15.6642,0,0,0,9.0958e-52,3.72136e-180,9.0958e-52
5, -15.4135,0,0,0,6.33766e-51,1.72068e-176,6.33766e-51
5, -15.1629,0,0,0,-7.83385e-50,7.29257e-173,-7.83385e-50
5, -14.9123,0,0,0,-5.33769e-49,2.83298e-169,-5.33769e-49
5, -14.6617,0,0,0,6.07533e-48,1.00876e-165,6.07533e-48
5, -14.411,0,0,0,3.93362e-47,3.29243e-162,3.93362e-47
5, -14.1604,0,0,0,-4.23964e-46,9.84979e-159,-4.23964e-46
5, -13.9098,0,0,0,-2.5565e-45,2.70097e-155,-2.5565e-45
5, -13.6591,0,0,0,2.65496e-44,6.78883e-152,2.65496e-44
5, -13.4085,0,0,0,1.4794e-43,1.56406e-148,1.4794e-43
5, -13.1579,0,0,0,-1.49117e-42,3.30287e-145,-1.49117e-42
5, -12.9073,0,0,0,-7.67981e-42,6.39314e-142,-7.67981e-42
5, -12.6566,0,0,0,7.5023e-41,1.13428e-138,7.5023e-41
5, -12.406,1.35335e-49,0,1.35335e-49,3.60866e-40,1.84462e-135,3.60866e-40
5, -12.1554,-3.27803e-47,0,-3.27803e-47,-3.38096e-39,2.74964e-132,-3.38096e-39
5, -11.9048,3.85187e-45,0,3.85187e-45,-1.54748e-38,3.75688e-129,-1.54748e-38
5, -11.6541,-2.92373e-43,0,-2.92373e-43,1.36454e-37,4.70502e-126,1.36454e-37
5, -11.4035,1.61029e-41,0,1.61029e-41,6.10118e-37,5.40105e-123,6.10118e-37
5, -11.1529,-6.85268e-40,0,-6.85268e-40,-4.92991e-36,5.68299e-120,-4.92991e-36
5, -10.9023,2.3426e-38,0,2.3426e-38,-2.22341e-35,5.48099e-117,-2.22341e-35
5, -10.6516,-6.6022e-37,0,-6.6022e-37,1.59188e-34,4.84532e-114,1.59188e-34
5, -10.401,1.56197e-35,0,1.56197e-35,7.50726e-34,3.92617e-111,7.50726e-34
5, -10.1504,-3.14177e-34,0,-3.14177e-34,-4.5767e-33,2.91607e-108,-4.5767e-33
5, -9.89975,5.42024e-33,0,5.42024e-33,-2.3467e-32,1.98522e-105,-2.3467e-32
5, -9.64912,-8.06573e-32,0,-8.06573e-32,1.16243e-31,1.2388e-102,1.16243e-31
5, -9.3985,1.03809e-30,0,1.03809e-30,6.76632e-31,7.08562e-100,6.76632e-31
5, -9.14787,-1.15525e-29,0,-1.15525e-29,-2.56785e-30,3.7148e-97,-2.56785e-30
5, -8.89724,1.10731e-28,0,1.10731e-28,-1.78895e-29,1.78516e-94,-1.78895e-29
5, -8.64662,-9.05861e-28,0,-9.05861e-28,4.77325e-29,7.86321e-92,4.77325e-29
5, -8.39599,6.21221e-27,0,6.21221e-27,4.3039e-28,3.17472e-89,4.3039e-28
5, -8.14536,-3.44298e-26,0,-3.44298e-26,-6.86089e-28,1.17488e-86,-6.86089e-28
5, -7.89474,1.41062e-25,0,1.41062e-25,-9.3325e-27,3.98532e-84,-9.3325e-27
5, -7.64411,-2.97453e-25,0,-2.97453e-25,5.29081e-27,1.23913e-81,5.29081e-27
5, -7.39348,-1.04064e-24,0,-1.04064e-24,1.80142e-25,3.53143e-79,1.80142e-25
5, -7.14286,1.3643e-23,0,1.3643e-23,8.06227e-26,9.22504e-77,8.06227e-26
5, -6.89223,-6.52995e-23,0,-6.52995e-23,-3.04015e-24,2.20886e-74,-3.04015e-24
5, -6.6416,1.1833e-22,0,1.1833e-22,-4.63167e-24,4.84786e-72,-4.63167e-24
5, -6.39098,5.57385e-22,0,5.57385e-22,4.35107e-23,9.75248e-70,4.35107e-23
5, -6.14035,-4.84682e-21,0,-4.84682e-21,1.22949e-22,1.7983e-67,1.22949e-22
5, -5.88972,1.32069e-20,0,1.32069e-20,-4.95131e-22,3.03942e-65,-4.95131e-22
5, -5.6391,1.96316e-20,0,1.96316e-20,-2.3943e-21,4.70872e-63,-2.3943e-21
5, -5.38847,-2.74571e-19,0,-2.74571e-19,3.64839e-21,6.68648e-61,3.64839e-21
5, -5.13784,7.20063e-19,0,7.20063e-19,3.68611e-20,8.7031e-59,3.68611e-20
5, -4.88722,1.30717e-18,0,1.30717e-18,5.64307e-21,1.03832e-56,5.64307e-21
5, -4.63659,-1.33561e-17,0,-1.33561e-17,-4.47771e-19,1.13547e-54,-4.47771e-19
5, -4.38596,2.1766e-17,0,2.1766e-17,-7.44711e-19,1.13815e-52,-7.44711e-19
5, -4.13534,1.0113e-16,0,1.0113e-16,4.0019e-18,1.04569e-50,4.0019e-18
5, -3.88471,-4.87231e-16,0,-4.87231e-16,1.46907e-17,8.80629e-49,1.46907e-17
5, -3.63409,-3.39419e-17,0,-3.39419e-17,-1.8905e-17,6.79773e-47,-1.8905e-17
5, -3.38346,5.11805e-15,0,5.11805e-15,-1.84436e-16,4.8097e-45,-1.84436e-16
5, -3.13283,-8.84611e-15,0,-8.84611e-15,-1.28184e-16,3.11927e-43,-1.28184e-16
5, -2.88221,-3.44427e-14,0,-3.44427e-14,1.56402e-15,1.85426e-41,1.56402e-15
5, -2.63158,1.30822e-13,0,1.30822e-13,4.02331e-15,1.01035e-39,4.02331e-15
5, -2.38095,1.33039e-13,0,1.33039e-13,-6.78775e-15,5.04609e-38,-6.78775e-15
5, -2.13033,-1.25341e-12,0,-1.25341e-12,-4.8086e-14,2.31005e-36,-4.8086e-14
5, -1.8797,1.73924e-13,0,1.73924e-13,-3.44702e-14,9.69323e-35,-3.44702e-14
5, -1.62907,9.58857e-12,0,9.58857e-12,3.28097e-13,3.7282e-33,3.28097e-13
5, -1.37845,-8.28612e-12,0,-8.28612e-12,9.266e-13,1.31435e-31,9.266e-13
5, -1.12782,-6.38082e-11,0,-6.38082e-11,-6.53678e-13,4.24723e-30,-6.53678e-13
5, -0.877193,8.8016e-11,0,8.8016e-11,-8.25742e-12,1.25801e-28,-8.25742e-12
5, -0.626566,3.9083e-10,0,3.9083e-10,-1.254e-11,3.41541e-27,-1.254e-11
5, -0.37594,-6.62507e-10,0,-6.62507e-10,3.11482e-11,8.49935e-26,3.11482e-11
